Time	Cache_id	cache_time	no	cache_next	cache_occurance
10:46.4	19	11701	65	79	2
13:46.4	2	11881	66	68	19
16:46.4	7	12061	67	108	3
19:46.4	2	12241	68	74	20
22:46.4	8	12421	69	93	4
25:46.4	6	12601	70	77	7
28:46.4	4	12781	71	75	3
31:46.4	12	12961	72	81	2
34:46.4	5	13141	73	124	4
37:46.4	2	13321	74	76	21
40:46.4	4	13501	75	95	4
43:46.4	2	13681	76	83	22
46:46.4	6	13861	77	175	8
49:46.4	3	14041	78	82	14
52:46.4	19	14221	79	94	3
55:46.4	18	14401	80	88	3
58:46.4	12	14581	81	142	3
01:46.4	3	14761	82	91	15
04:46.4	2	14941	83	90	23
07:46.4	11	15121	84	104	2
10:46.4	10	15301	85	89	4
13:46.4	1	15481	86	107	4
16:46.4	13	15661	87	114	2
19:46.4	18	15841	88	115	4
22:46.4	10	16021	89	103	5
25:46.4	2	16201	90	92	24
28:46.4	3	16381	91	98	16
31:46.4	2	16561	92	96	25
34:46.4	8	16741	93	99	5
37:46.4	19	16921	94	171	4
40:46.4	4	17101	95	102	5
43:46.4	2	17281	96	97	26
46:46.4	2	17461	97	100	27
49:46.4	3	17641	98	126	17
52:46.4	8	17821	99	135	6
55:46.4	2	18001	100	106	28
58:46.4	15	18181	101	118	1
01:46.4	4	18361	102	109	6
04:46.4	10	18541	103	112	6
07:46.4	11	18721	104	143	3
10:46.4	14	18901	105	127	1
13:46.4	2	19081	106	110	29
16:46.4	1	19261	107	125	5
19:46.4	7	19441	108	116	4
22:46.4	4	19621	109	129	7
25:46.4	2	19801	110	111	30
28:46.4	2	19981	111	113	31
31:46.4	10	20161	112	119	7
34:46.4	2	20341	113	117	32
37:46.4	13	20521	114	133	3
40:46.4	18	20701	115	151	5
43:46.4	7	20881	116	120	5
46:46.4	2	21061	117	121	33
49:46.4	15	21241	118	150	2
52:46.4	10	21421	119	134	8
55:46.4	7	21601	120	152	6
58:46.4	2	21781	121	122	34
01:46.4	2	21961	122	123	35
04:46.4	2	22141	123	130	36
07:46.4	5	22321	124	166	5
10:46.4	1	22501	125	136	6
13:46.4	3	22681	126	137	18
16:46.4	14	22861	127	148	2
19:46.4	16	23041	128	197	3
22:46.4	4	23221	129	141	8
25:46.4	2	23401	130	131	37
28:46.4	2	23581	131	132	38
31:46.4	2	23761	132	140	39
34:46.4	13	23941	133	185	4
37:46.4	10	24121	134	191	9
40:46.4	8	24301	135	168	7
43:46.4	1	24481	136	155	7
46:46.4	3	24661	137	139	19
49:46.4	20	24841	138	164	2
52:46.4	3	25021	139	147	20
55:46.4	2	25201	140	146	40
58:46.4	4	25381	141	207	9
01:46.4	12	25561	142	230	4
04:46.4	11	25741	143	189	4
07:46.4	9	25921	144	145	3
10:46.4	9	26101	145	161	4
13:46.4	2	26281	146	149	41
16:46.4	3	26461	147	156	21
19:46.4	14	26641	148	157	3
22:46.4	2	26821	149	153	42
25:46.4	15	27001	150	167	3
28:46.4	18	27181	151	291	6
31:46.4	7	27361	152	170	7
34:46.4	2	27541	153	154	43
37:46.4	2	27721	154	159	44
40:46.4	1	27901	155	387	8
43:46.4	3	28081	156	158	22
46:46.4	14	28261	157	233	4
49:46.4	3	28441	158	160	23
52:46.4	2	28621	159	162	45
55:46.4	3	28801	160	183	24
58:46.4	9	28981	161	165	5
01:46.4	2	29161	162	163	46
04:46.4	2	29341	163	169	47
07:46.4	20	29521	164	179	3
10:46.4	9	29701	165	177	6
13:46.4	5	29881	166	176	6
16:46.4	15	30061	167	174	4
19:46.4	8	30241	168	221	8
22:46.4	2	30421	169	172	48
25:46.4	7	30601	170	249	8
28:46.4	19	30781	171	201	5
31:46.4	2	30961	172	173	49
34:46.4	2	31141	173	178	50
37:46.4	15	31321	174	180	5
40:46.4	6	31501	175	210	9
43:46.4	5	31681	176	225	7
46:46.4	9	31861	177	217	7
49:46.4	2	32041	178	181	51
52:46.4	20	32221	179	186	4
55:46.4	15	32401	180	199	6
58:46.4	2	32581	181	182	52
01:46.4	2	32761	182	187	53
04:46.4	3	32941	183	195	25
07:46.4	17	33121	184	333	2
10:46.4	13	33301	185	223	5
13:46.4	20	33481	186	252	5
16:46.4	2	33661	187	188	54
19:46.4	2	33841	188	190	55
22:46.4	11	34021	189	229	5
25:46.4	2	34201	190	192	56
28:46.4	10	34381	191	215	10
31:46.4	2	34561	192	193	57
34:46.4	2	34741	193	194	58
37:46.4	2	34921	194	196	59
40:46.4	3	35101	195	200	26
43:46.4	2	35281	196	198	60
46:46.4	16	35461	197	211	4
49:46.4	2	35641	198	202	61
52:46.4	15	35821	199	205	7
55:46.4	3	36001	200	213	27
58:46.4	19	36181	201	208	6
01:46.4	2	36361	202	203	62
04:46.4	2	36541	203	204	63
07:46.4	2	36721	204	209	64
10:46.4	15	36901	205	206	8
13:46.4	15	37081	206	214	9
16:46.4	4	37261	207	231	10
19:46.4	19	37441	208	415	7
22:46.4	2	37621	209	212	65
25:46.4	6	37801	210	218	10
28:46.4	16	37981	211	245	5
31:46.4	2	38161	212	216	66
34:46.4	3	38341	213	219	28
37:46.4	15	38521	214	227	10
40:46.4	10	38701	215	220	11
43:46.4	2	38881	216	222	67
46:46.4	9	39061	217	228	8
49:46.4	6	39241	218	242	11
52:46.4	3	39421	219	236	29
55:46.4	10	39601	220	253	12
58:46.4	8	39781	221	275	9
01:46.4	2	39961	222	235	68
04:46.4	13	40141	223	224	6
07:46.4	13	40321	224	226	7
10:46.4	5	40501	225	254	8
13:46.4	13	40681	226	243	8
16:46.4	15	40861	227	263	11
19:46.4	9	41041	228	273	9
22:46.4	11	41221	229	296	6
25:46.4	12	41401	230	269	5
28:46.4	4	41581	231	232	11
31:46.4	4	41761	232	234	12
34:46.4	14	41941	233	237	5
37:46.4	4	42121	234	260	13
40:46.4	2	42301	235	238	69
43:46.4	3	42481	236	239	30
46:46.4	14	42661	237	251	6
49:46.4	2	42841	238	241	70
52:46.4	3	43021	239	240	31
55:46.4	3	43201	240	255	32
58:46.4	2	43381	241	244	71
01:46.4	6	43561	242	246	12
04:46.4	13	43741	243	268	9
07:46.4	2	43921	244	247	72
10:46.4	16	44101	245	327	6
13:46.4	6	44281	246	248	13
16:46.4	2	44461	247	250	73
19:46.4	6	44641	248	261	14
22:46.4	7	44821	249	295	9
25:46.4	2	45001	250	257	74
28:46.4	14	45181	251	284	7
31:46.4	20	45361	252	329	6
34:46.4	10	45541	253	312	13
37:46.4	5	45721	254	256	9
40:46.4	3	45901	255	274	33
43:46.4	5	46081	256	320	10
46:46.4	2	46261	257	258	75
49:46.4	2	46441	258	259	76
52:46.4	2	46621	259	262	77
55:46.4	4	46801	260	265	14
58:46.4	6	46981	261	306	15
01:46.4	2	47161	262	264	78
04:46.4	15	47341	263	290	12
07:46.4	2	47521	264	267	79
10:46.4	4	47701	265	266	15
13:46.4	4	47881	266	271	16
16:46.4	2	48061	267	270	80
19:46.4	13	48241	268	298	10
22:46.4	12	48421	269	286	6
25:46.4	2	48601	270	280	81
28:46.4	4	48781	271	272	17
31:46.4	4	48961	272	281	18
34:46.4	9	49141	273	294	10
37:46.4	3	49321	274	276	34
40:46.4	8	49501	275	277	10
43:46.4	3	49681	276	278	35
46:46.4	8	49861	277	317	11
49:46.4	3	50041	278	279	36
52:46.4	3	50221	279	287	37
55:46.4	2	50401	280	283	82
58:46.4	4	50581	281	282	19
01:46.4	4	50761	282	313	20
04:46.4	2	50941	283	285	83
07:46.4	14	51121	284	309	8
10:46.4	2	51301	285	288	84
13:46.4	12	51481	286	484	7
16:46.4	3	51661	287	299	38
19:46.4	2	51841	288	289	85
22:46.4	2	52021	289	292	86
25:46.4	15	52201	290	371	13
28:46.4	18	52381	291	378	7
31:46.4	2	52561	292	293	87
34:46.4	2	52741	293	297	88
37:46.4	9	52921	294	310	11
40:46.4	7	53101	295	314	10
43:46.4	11	53281	296	345	7
46:46.4	2	53461	297	300	89
49:46.4	13	53641	298	338	11
52:46.4	3	53821	299	318	39
55:46.4	2	54001	300	301	90
58:46.4	2	54181	301	302	91
01:46.4	2	54361	302	303	92
04:46.4	2	54541	303	304	93
07:46.4	2	54721	304	305	94
10:46.4	2	54901	305	307	95
13:46.4	6	55081	306	322	16
16:46.4	2	55261	307	308	96
19:46.4	2	55441	308	311	97
22:46.4	14	55621	309	319	9
25:46.4	9	55801	310	315	12
28:46.4	2	55981	311	316	98
31:46.4	10	56161	312	343	14
34:46.4	4	56341	313	323	21
37:46.4	7	56521	314	335	11
40:46.4	9	56701	315	336	13
43:46.4	2	56881	316	321	99
46:46.4	8	57061	317	375	12
49:46.4	3	57241	318	325	40
52:46.4	14	57421	319	418	10
55:46.4	5	57601	320	340	11
58:46.4	2	57781	321	330	100
01:46.4	6	57961	322	368	17
04:46.4	4	58141	323	324	22
07:46.4	4	58321	324	328	23
10:46.4	3	58501	325	326	41
13:46.4	3	58681	326	341	42
16:46.4	16	58861	327	355	7
19:46.4	4	59041	328	332	24
22:46.4	20	59221	329	334	7
25:46.4	2	59401	330	331	101
28:46.4	2	59581	331	337	102
31:46.4	4	59761	332	360	25
34:46.4	17	59941	333	406	3
37:46.4	20	60121	334	491	8
40:46.4	7	60301	335	352	12
43:46.4	9	60481	336	443	14
46:46.4	2	60661	337	339	103
49:46.4	13	60841	338	354	12
52:46.4	2	61021	339	346	104
55:46.4	5	61201	340	344	12
58:46.4	3	61381	341	342	43
01:46.4	3	61561	342	348	44
04:46.4	10	61741	343	349	15
07:46.4	5	61921	344	347	13
10:46.4	11	62101	345	358	8
13:46.4	2	62281	346	353	105
16:46.4	5	62461	347	361	14
19:46.4	3	62641	348	350	45
22:46.4	10	62821	349	356	16
25:46.4	3	63001	350	351	46
28:46.4	3	63181	351	357	47
31:46.4	7	63361	352	388	13
34:46.4	2	63541	353	362	106
37:46.4	13	63721	354	424	13
40:46.4	16	63901	355	376	8
43:46.4	10	64081	356	359	17
46:46.4	3	64261	357	366	48
49:46.4	11	64441	358	363	9
52:46.4	10	64621	359	364	18
55:46.4	4	64801	360	374	26
58:46.4	5	64981	361	373	15
01:46.4	2	65161	362	365	107
04:46.4	11	65341	363	386	10
07:46.4	10	65521	364	369	19
10:46.4	2	65701	365	367	108
13:46.4	3	65881	366	377	49
16:46.4	2	66061	367	370	109
19:46.4	6	66241	368	372	18
22:46.4	10	66421	369	435	20
25:46.4	2	66601	370	379	110
28:46.4	15	66781	371	382	14
31:46.4	6	66961	372	381	19
34:46.4	5	67141	373	392	16
37:46.4	4	67321	374	383	27
40:46.4	8	67501	375	403	13
43:46.4	16	67681	376	380	9
46:46.4	3	67861	377	394	50
49:46.4	18	68041	378	430	8
52:46.4	2	68221	379	385	111
55:46.4	16	68401	380	486	10
58:46.4	6	68581	381	409	20
01:46.4	15	68761	382	436	15
04:46.4	4	68941	383	384	28
07:46.4	4	69121	384	404	29
10:46.4	2	69301	385	389	112
13:46.4	11	69481	386	455	11
16:46.4	1	69661	387	410	9
19:46.4	7	69841	388	407	14
22:46.4	2	70021	389	390	113
25:46.4	2	70201	390	391	114
28:46.4	2	70381	391	393	115
31:46.4	5	70561	392	395	17
34:46.4	2	70741	393	396	116
37:46.4	3	70921	394	398	51
40:46.4	5	71101	395	411	18
43:46.4	2	71281	396	397	117
46:46.4	2	71461	397	401	118
49:46.4	3	71641	398	399	52
52:46.4	3	71821	399	400	53
55:46.4	3	72001	400	417	54
58:46.4	2	72181	401	402	119
01:46.4	2	72361	402	405	120
04:46.4	8	72541	403	439	14
07:46.4	4	72721	404	412	30
10:46.4	2	72901	405	408	121
13:46.4	17	73081	406	425	4
16:46.4	7	73261	407	431	15
19:46.4	2	73441	408	414	122
22:46.4	6	73621	409	421	21
25:46.4	1	73801	410	413	10
28:46.4	5	73981	411	427	19
31:46.4	4	74161	412	446	31
34:46.4	1	74341	413	506	11
37:46.4	2	74521	414	416	123
40:46.4	19	74701	415	423	8
43:46.4	2	74881	416	419	124
46:46.4	3	75061	417	422	55
49:46.4	14	75241	418	465	11
52:46.4	2	75421	419	420	125
55:46.4	2	75601	420	428	126
58:46.4	6	75781	421	426	22
01:46.4	3	75961	422	429	56
04:46.4	19	76141	423	452	9
07:46.4	13	76321	424	500	14
10:46.4	17	76501	425	448	5
13:46.4	6	76681	426	438	23
16:46.4	5	76861	427	441	20
19:46.4	2	77041	428	432	127
22:46.4	3	77221	429	437	57
25:46.4	18	77401	430	502	9
28:46.4	7	77581	431	434	16
31:46.4	2	77761	432	433	128
34:46.4	2	77941	433	440	129
37:46.4	7	78121	434	454	17
40:46.4	10	78301	435	477	21
43:46.4	15	78481	436	449	16
46:46.4	3	78661	437	444	58
49:46.4	6	78841	438	464	24
52:46.4	8	79021	439	450	15
55:46.4	2	79201	440	442	130
58:46.4	5	79381	441	445	21
01:46.4	2	79561	442	447	131
04:46.4	9	79741	443	457	15
07:46.4	3	79921	444	469	59
10:46.4	5	80101	445	462	22
13:46.4	4	80281	446	451	32
16:46.4	2	80461	447	453	132
19:46.4	17	80641	448	475	6
22:46.4	15	80821	449	490	17
25:46.4	8	81001	450	588	16
28:46.4	4	81181	451	456	33
31:46.4	19	81361	452	600	10
34:46.4	2	81541	453	459	133
37:46.4	7	81721	454	488	18
40:46.4	11	81901	455	518	12
43:46.4	4	82081	456	458	34
46:46.4	9	82261	457	495	16
49:46.4	4	82441	458	461	35
52:46.4	2	82621	459	460	134
55:46.4	2	82801	460	463	135
58:46.4	4	82981	461	466	36
01:46.4	5	83161	462	480	23
04:46.4	2	83341	463	467	136
07:46.4	6	83521	464	473	25
10:46.4	14	83701	465	509	12
13:46.4	4	83881	466	479	37
16:46.4	2	84061	467	468	137
19:46.4	2	84241	468	470	138
22:46.4	3	84421	469	472	60
25:46.4	2	84601	470	471	139
28:46.4	2	84781	471	474	140
31:46.4	3	84961	472	478	61
34:46.4	6	85141	473	503	26
37:46.4	2	85321	474	476	141
40:46.4	17	85501	475	489	7
43:46.4	2	85681	476	483	142
46:46.4	10	85861	477	507	22
49:46.4	3	86041	478	482	62
52:46.4	4	86221	479	481	38
55:46.4	5	86401	480	522	24
58:46.4	4	86581	481	494	39
01:46.4	3	86761	482	499	63
04:46.4	2	86941	483	485	143
07:46.4	12	87121	484	492	8
10:46.4	2	87301	485	487	144
13:46.4	16	87481	486	607	11
16:46.4	2	87661	487	493	145
19:46.4	7	87841	488	505	19
22:46.4	17	88021	489	514	8
25:46.4	15	88201	490	512	18
28:46.4	20	88381	491	511	9
31:46.4	12	88561	492	584	9
34:46.4	2	88741	493	496	146
37:46.4	4	88921	494	517	40
40:46.4	9	89101	495	516	17
43:46.4	2	89281	496	497	147
46:46.4	2	89461	497	498	148
49:46.4	2	89641	498	501	149
52:46.4	3	89821	499	504	64
55:46.4	13	90001	500	535	15
58:46.4	2	90181	501	510	150
01:46.4	18	90361	502	508	10
04:46.4	6	90541	503	549	27
07:46.4	3	90721	504	520	65
10:46.4	7	90901	505	528	20
13:46.4	1	91081	506	591	12
16:46.4	10	91261	507	519	23
19:46.4	18	91441	508	544	11
22:46.4	14	91621	509	532	13
25:46.4	2	91801	510	513	151
28:46.4	20	91981	511	555	10
31:46.4	15	92161	512	536	19
34:46.4	2	92341	513	515	152
37:46.4	17	92521	514	527	9
40:46.4	2	92701	515	521	153
43:46.4	9	92881	516	557	18
46:46.4	4	93061	517	540	41
49:46.4	11	93241	518	546	13
52:46.4	10	93421	519	570	24
55:46.4	3	93601	520	523	66
58:46.4	2	93781	521	529	154
01:46.4	5	93961	522	543	25
04:46.4	3	94141	523	524	67
07:46.4	3	94321	524	525	68
10:46.4	3	94501	525	526	69
13:46.4	3	94681	526	531	70
16:46.4	17	94861	527	530	10
19:46.4	7	95041	528	573	21
22:46.4	2	95221	529	533	155
25:46.4	17	95401	530	569	11
28:46.4	3	95581	531	537	71
31:46.4	14	95761	532	599	14
34:46.4	2	95941	533	534	156
37:46.4	2	96121	534	545	157
40:46.4	13	96301	535	590	16
43:46.4	15	96481	536	556	20
46:46.4	3	96661	537	538	72
49:46.4	3	96841	538	539	73
52:46.4	3	97021	539	541	74
55:46.4	4	97201	540	551	42
58:46.4	3	97381	541	542	75
01:46.4	3	97561	542	548	76
04:46.4	5	97741	543	564	26
07:46.4	18	97921	544	612	12
10:46.4	2	98101	545	547	158
13:46.4	11	98281	546	550	14
16:46.4	2	98461	547	552	159
19:46.4	3	98641	548	559	77
22:46.4	6	98821	549	563	28
25:46.4	11	99001	550	560	15
28:46.4	4	99181	551	595	43
31:46.4	2	99361	552	553	160
34:46.4	2	99541	553	554	161
37:46.4	2	99721	554	561	162
40:46.4	20	99901	555	574	11
43:46.4	15	100081	556	558	21
46:46.4	9	100261	557	578	19
49:46.4	15	100441	558	650	22
52:46.4	3	100621	559	575	78
55:46.4	11	100801	560	596	16
58:46.4	2	100981	561	562	163
01:46.4	2	101161	562	565	164
04:46.4	6	101341	563	566	29
07:46.4	5	101521	564	581	27
10:46.4	2	101701	565	568	165
13:46.4	6	101881	566	567	30
16:46.4	6	102061	567	593	31
19:46.4	2	102241	568	571	166
22:46.4	17	102421	569	708	12
25:46.4	10	102601	570	655	25
28:46.4	2	102781	571	572	167
31:46.4	2	102961	572	577	168
34:46.4	7	103141	573	582	22
37:46.4	20	103321	574	614	12
40:46.4	3	103501	575	576	79
43:46.4	3	103681	576	586	80
46:46.4	2	103861	577	579	169
49:46.4	9	104041	578	636	20
52:46.4	2	104221	579	580	170
55:46.4	2	104401	580	587	171
58:46.4	5	104581	581	585	28
01:46.4	7	104761	582	583	23
04:46.4	7	104941	583	592	24
07:46.4	12	105121	584	594	10
10:46.4	5	105301	585	589	29
13:46.4	3	105481	586	606	81
16:46.4	2	105661	587	601	172
19:46.4	8	105841	588	597	17
22:46.4	5	106021	589	603	30
25:46.4	13	106201	590	616	17
28:46.4	1	106381	591	637	13
31:46.4	7	106561	592	640	25
34:46.4	6	106741	593	604	32
37:46.4	12	106921	594	598	11
40:46.4	4	107101	595	615	44
43:46.4	11	107281	596	653	17
46:46.4	8	107461	597	625	18
49:46.4	12	107641	598	671	12
52:46.4	14	107821	599	608	15
55:46.4	19	108001	600	626	11
58:46.4	2	108181	601	602	173
01:46.4	2	108361	602	605	174
04:46.4	5	108541	603	620	31
07:46.4	6	108721	604	644	33
10:46.4	2	108901	605	609	175
13:46.4	3	109081	606	613	82
16:46.4	16	109261	607	624	12
19:46.4	14	109441	608	662	16
22:46.4	2	109621	609	610	176
25:46.4	2	109801	610	611	177
28:46.4	2	109981	611	617	178
31:46.4	18	110161	612	661	13
34:46.4	3	110341	613	618	83
37:46.4	20	110521	614	711	13
40:46.4	4	110701	615	628	45
43:46.4	13	110881	616	621	18
46:46.4	2	111061	617	619	179
49:46.4	3	111241	618	635	84
52:46.4	2	111421	619	622	180
55:46.4	5	111601	620	623	32
58:46.4	13	111781	621	688	19
01:46.4	2	111961	622	627	181
04:46.4	5	112141	623	641	33
07:46.4	16	112321	624	648	13
10:46.4	8	112501	625	659	19
13:46.4	19	112681	626	697	12
16:46.4	2	112861	627	629	182
19:46.4	4	113041	628	632	46
22:46.4	2	113221	629	630	183
25:46.4	2	113401	630	631	184
28:46.4	2	113581	631	633	185
31:46.4	4	113761	632	639	47
34:46.4	2	113941	633	634	186
37:46.4	2	114121	634	638	187
40:46.4	3	114301	635	645	85
43:46.4	9	114481	636	679	21
46:46.4	1	114661	637	658	14
49:46.4	2	114841	638	642	188
52:46.4	4	115021	639	643	48
55:46.4	7	115201	640	660	26
58:46.4	5	115381	641	678	34
01:46.4	2	115561	642	646	189
04:46.4	4	115741	643	651	49
07:46.4	6	115921	644	698	34
10:46.4	3	116101	645	652	86
13:46.4	2	116281	646	647	190
16:46.4	2	116461	647	649	191
19:46.4	16	116641	648	734	14
22:46.4	2	116821	649	656	192
25:46.4	15	117001	650	654	23
28:46.4	4	117181	651	666	50
31:46.4	3	117361	652	670	87
34:46.4	11	117541	653	677	18
37:46.4	15	117721	654	726	24
40:46.4	10	117901	655	667	26
43:46.4	2	118081	656	657	193
46:46.4	2	118261	657	663	194
49:46.4	1	118441	658	680	15
52:46.4	8	118621	659	669	20
55:46.4	7	118801	660	687	27
58:46.4	18	118981	661	683	14
01:46.4	14	119161	662	722	17
04:46.4	2	119341	663	664	195
07:46.4	2	119521	664	665	196
10:46.4	2	119701	665	668	197
13:46.4	4	119881	666	686	51
16:46.4	10	120061	667	673	27
19:46.4	2	120241	668	674	198
22:46.4	8	120421	669	681	21
25:46.4	3	120601	670	672	88
28:46.4	12	120781	671	720	13
31:46.4	3	120961	672	675	89
34:46.4	10	121141	673	705	28
37:46.4	2	121321	674	684	199
40:46.4	3	121501	675	676	90
43:46.4	3	121681	676	690	91
46:46.4	11	121861	677	713	19
49:46.4	5	122041	678	701	35
52:46.4	9	122221	679	699	22
55:46.4	1	122401	680	695	16
58:46.4	8	122581	681	682	22
01:46.4	8	122761	682	782	23
04:46.4	18	122941	683	731	15
07:46.4	2	123121	684	685	200
10:46.4	2	123301	685	691	201
13:46.4	4	123481	686	693	52
16:46.4	7	123661	687	689	28
19:46.4	13	123841	688	751	20
22:46.4	7	124021	689	710	29
25:46.4	3	124201	690	706	92
28:46.4	2	124381	691	692	202
31:46.4	2	124561	692	694	203
34:46.4	4	124741	693	696	53
37:46.4	2	124921	694	700	204
40:46.4	1	125101	695	763	17
43:46.4	4	125281	696	703	54
46:46.4	19	125461	697	739	13
49:46.4	6	125641	698	793	35
52:46.4	9	125821	699	746	23
55:46.4	2	126001	700	702	205
58:46.4	5	126181	701	727	36
01:46.4	2	126361	702	704	206
04:46.4	4	126541	703	750	55
07:46.4	2	126721	704	707	207
10:46.4	10	126901	705	709	29
13:46.4	3	127081	706	712	93
16:46.4	2	127261	707	716	208
19:46.4	17	127441	708	718	13
22:46.4	10	127621	709	721	30
25:46.4	7	127801	710	714	30
28:46.4	20	127981	711	740	14
31:46.4	3	128161	712	719	94
34:46.4	11	128341	713	770	20
37:46.4	7	128521	714	715	31
40:46.4	7	128701	715	779	32
43:46.4	2	128881	716	717	209
46:46.4	2	129061	717	724	210
49:46.4	17	129241	718	753	14
52:46.4	3	129421	719	723	95
55:46.4	12	129601	720	857	14
58:46.4	10	129781	721	789	31
01:46.4	14	129961	722	759	18
04:46.4	3	130141	723	725	96
07:46.4	2	130321	724	728	211
10:46.4	3	130501	725	730	97
13:46.4	15	130681	726	769	25
16:46.4	5	130861	727	738	37
19:46.4	2	131041	728	729	212
22:46.4	2	131221	729	732	213
25:46.4	3	131401	730	736	98
28:46.4	18	131581	731	765	16
31:46.4	2	131761	732	733	214
34:46.4	2	131941	733	735	215
37:46.4	16	132121	734	885	15
40:46.4	2	132301	735	737	216
43:46.4	3	132481	736	748	99
46:46.4	2	132661	737	741	217
49:46.4	5	132841	738	755	38
52:46.4	19	133021	739	761	14
55:46.4	20	133201	740	805	15
58:46.4	2	133381	741	742	218
01:46.4	2	133561	742	743	219
04:46.4	2	133741	743	744	220
07:46.4	2	133921	744	745	221
10:46.4	2	134101	745	747	222
13:46.4	9	134281	746	881	24
16:46.4	2	134461	747	756	223
19:46.4	3	134641	748	749	100
22:46.4	3	134821	749	752	101
25:46.4	4	135001	750	757	56
28:46.4	13	135181	751	960	21
31:46.4	3	135361	752	754	102
34:46.4	17	135541	753	799	15
37:46.4	3	135721	754	786	103
40:46.4	5	135901	755	760	39
43:46.4	2	136081	756	758	224
46:46.4	4	136261	757	771	57
49:46.4	2	136441	758	762	225
52:46.4	14	136621	759	833	19
55:46.4	5	136801	760	764	40
58:46.4	19	136981	761	767	15
01:46.4	2	137161	762	772	226
04:46.4	1	137341	763	800	18
07:46.4	5	137521	764	768	41
10:46.4	18	137701	765	766	17
13:46.4	18	137881	766	811	18
16:46.4	19	138061	767	917	16
19:46.4	5	138241	768	773	42
22:46.4	15	138421	769	851	26
25:46.4	11	138601	770	822	21
28:46.4	4	138781	771	784	58
31:46.4	2	138961	772	775	227
34:46.4	5	139141	773	774	43
37:46.4	5	139321	774	783	44
40:46.4	2	139501	775	776	228
43:46.4	2	139681	776	777	229
46:46.4	2	139861	777	778	230
49:46.4	2	140041	778	780	231
52:46.4	7	140221	779	790	33
55:46.4	2	140401	780	781	232
58:46.4	2	140581	781	785	233
01:46.4	8	140761	782	814	24
04:46.4	5	140941	783	796	45
07:46.4	4	141121	784	791	59
10:46.4	2	141301	785	787	234
13:46.4	3	141481	786	807	104
16:46.4	2	141661	787	788	235
19:46.4	2	141841	788	792	236
22:46.4	10	142021	789	795	32
25:46.4	7	142201	790	794	34
28:46.4	4	142381	791	829	60
31:46.4	2	142561	792	797	237
34:46.4	6	142741	793	798	36
37:46.4	7	142921	794	808	35
40:46.4	10	143101	795	803	33
43:46.4	5	143281	796	812	46
46:46.4	2	143461	797	801	238
49:46.4	6	143641	798	804	37
52:46.4	17	143821	799	809	16
55:46.4	1	144001	800	952	19
58:46.4	2	144181	801	802	239
01:46.4	2	144361	802	806	240
04:46.4	10	144541	803	837	34
07:46.4	6	144721	804	847	38
10:46.4	20	144901	805	867	16
13:46.4	2	145081	806	815	241
16:46.4	3	145261	807	810	105
19:46.4	7	145441	808	835	36
22:46.4	17	145621	809	963	17
25:46.4	3	145801	810	813	106
28:46.4	18	145981	811	843	19
31:46.4	5	146161	812	816	47
34:46.4	3	146341	813	817	107
37:46.4	8	146521	814	818	25
40:46.4	2	146701	815	819	242
43:46.4	5	146881	816	852	48
46:46.4	3	147061	817	820	108
49:46.4	8	147241	818	848	26
52:46.4	2	147421	819	823	243
